polarity,reviews
1.0,highli recommend state din restaur stop pick takeout seem relax place also bar look nice
1.0,ambianc fine littl loud still nice romant
1.0,filet mignon good cocktail hour includ free appet nice non sushi select
1.0,take hour serv cours
1.0,say go place quiet day
1.0,bite busi around peak time size
1.0,juri duti ride bike centr street lunch break come across great littl place awesom chicken taco hibiscu lemonad
1.0,good place hang day shop grab simpl soup classic french dish glass wine
1.0,nice touch much fit place
1.0,howev someth great outdoor great landscap enjoy casual drink make go place worthwhil
1.0,seat promptli close proxim danc floor
1.0,pre show meal hop cab take extra minut go uptown locat
1.0,plu good mix peopl twenti provid great eye candi
1.0,comment fri food correct dish includ lamb entre mani salad avocado shrimp quit good
1.0,best go cold night close friend good book
1.0,slow servic hang around group realli notic
1.0,sauc excel fresh dab real mozzarella
0.0,ever bother drink aw peopl work realli make worst experi din
0.0,room littl plain difficult make small place excit would suggest reason go
1.0,price even outsid restaur week great
1.0,small outdoor eat area make privat comfort space studi alon meet friend
1.0,place call attent
1.0,femal server cute alway nice
1.0,best dessert chocol peanut butter tart particularli hawaiian small world come sweet
1.0,appet calamari winner
0.0,satay one favorit haunt washington servic food alway money
1.0,dinner hear music play discov loung downstair
1.0,new ownership renov look great
1.0,room gorgeou bi level space long bar perfect drink
0.0,move state everi visit nyc includ stop
0.0,two complaint appet select stink would nice get mozzarella stick menu
1.0,rememb noth memor
1.0,bland noth extrodinari
1.0,especi impress bday parti waitstaff go beyond help decor bring bday cake well offer prompt friendli servic person parti
1.0,chicken falafel platter nondescript combin fresh leaf salad
1.0,everi time visit nyc come
1.0,come regularli sinc open year ago
1.0,atmospher take place place mani dream
0.0,sever time put waiter bad manner know job easi
1.0,servic great mayb even borderlin nag least get attent dessert excel coffe good
1.0,seat next coupl whose kitchen renov agre sinc foodi eat lot place return
0.0,serv focacchia bread die
1.0,smoothi littl big fresh juic best ever
1.0,food okay almost worth go unless get pialla dish realli good
1.0,guac fresh yet lack flavor like add fresh salsa
1.0,new menu creativ item smart enough keep old favorit rais price staff friendli time must agre person write favorit word sorri boy bend rule anyon
1.0,open lunch food good
1.0,like seafood greek food love place though limit thing
1.0,menu includ pub fare burger steak shepherd pie even portabella lasagna black sheep know vegetarian
1.0,surviv serv mediocr food exorbit price
1.0,food mediocr servic sever slow
1.0,eat differ occas food mediocr price
1.0,look forward go back soon eventu tri everyth menu
1.0,first visit place wait go back slowli work way menu
0.0,ask repeatedli statu meal pretti much grunt unbeliev rude waiter
0.0,stop brunch today vegan cranberri pancak rice milk
1.0,weekend get crowd still highli recommend
1.0,get crowd would suggest get earli
1.0,sweet irish bartend alway happi abl bring smile friend face
1.0,alway find sit next someon theatr industri interest hear idea hash quick bite eat
1.0,good go drink want get drink lucki get one drink hour servic bad
0.0,anyway owner fake
1.0,owner pleasant entertain
1.0,never life send back food simpli waiter argu
1.0,although restaur nice prefer go food
1.0,creami appet taramasalata eggplant salad greek yogurt cuccumb dill garlic tast excel warm pita
1.0,staff horribl us
1.0,complet fair redeem factor food averag make defici teodora
1.0,food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu
1.0,gabriela personali greet recommend eat
1.0,go enjoy say get
1.0,food outstand littl perk great
1.0,overpric tasti
1.0,agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat
1.0,bagel outstand tast terrif textur chewi yet gummi
1.0,nevertheless food pretti good
0.0,mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch
1.0,take half hour get check perfect sinc could sit drink talk
1.0,design atmospher good
1.0,visit thailand quit expert cuisin
0.0,would definit recommend mari make one regular neighborhood haunt
1.0,pizza best like thin crust pizza
1.0,girlfriend stumbl onto hop place night great time
1.0,help buy fast
0.0,secondli night place overwhelm upper east side ladi perfum
1.0,eat hand time reason besid sheer conveni
1.0,obvious run folk know pie
0.0,disappoint
1.0,definit special afford
1.0,realli like place
1.0,go back soon
1.0,money go interior decor none go chef
1.0,seat uncomfort sit wall wooden bench
1.0,ask seltzer lime ice
1.0,pretti inexpens
1.0,back
1.0,go alon even two peopl enough whole experi pickl select meat seafood
1.0,suggest eat famili style want tri dish
1.0,best warm vibe owner super friendli servic fast
1.0,valu joint
1.0,faan get great concept littl rough deliveri
1.0,incred food warm atmospher friendli servic downtown neighborhood spot miss beat
1.0,great food reason price make even beat
1.0,look foward tri ruben upon return
1.0,steakhous seem hold candl roth strip hous
1.0,usual go chart hous celebr birthday anniversari
1.0,littl place cute interior decor afford citi price
1.0,ador
1.0,two word free wine
0.0,price reason although servic poor
1.0,quantiti also good come satisfi
0.0,roth twice time disappoint
1.0,worth visit st ave spot origin store
1.0,stumbl upon second floor walk two friday ago two friend town l seriou sushi lover sit sushi bar closer action
1.0,raga romant cozi restaur
1.0,fri rice amaz
1.0,three cours choic includ excel mussel puff pastri goat chees salad delici dress hanger steak au poivr world
1.0,perfect place amanz indian food
1.0,place cool servic prompt curtiou
1.0,end leav mild broth noodl slurp cup
1.0,wonder delici meal littl money
1.0,food delici come empti stomach
1.0,wine list excel
1.0,garantuan fit toaster
1.0,ive mani thai restaur manhattan toon far best thai food ive except mom cours
1.0,wouldnt even let finish glass wine offer anoth
1.0,highli recommend sophia pizza
1.0,whem ask ask detail question know special
1.0,consist great place dine lunch dinner
1.0,nice atmospher servic pleasant desert good
1.0,peopl bring go back bring friend
1.0,realli enjoy bar sit tabl dinner
1.0,fabul servic fantast food chill atmospher environ
1.0,want hear
1.0,tri lasagnett appet
1.0,pricey worth tri least
0.0,time usual end sit next pretti odd peopl
1.0,like beer select
1.0,great food good size menu great servic unpretensi set
1.0,go romant dinner wow din experi
1.0,wait go back
1.0,grow eat dosa yet find place ny satisfi tast bud
1.0,wine list select good wine glass gener fill top
1.0,great varieti menu eat often never get bore
1.0,menu limit think count entre
1.0,carnivor come hungri leav satisfi ever
1.0,menu limit almost dish excel
1.0,crazi sake martini
1.0,great bagel spread good place hang
1.0,servic vari day day sometim nice sometim
1.0,whoever jazz duo point
1.0,one thing like place never felt rush pressur give tabl ot incom guest
1.0,place great bargain
1.0,happen upon place pure accid pleas result
1.0,unfortun food outstand everyth els restaur pit
0.0,deff recimmend bukhara also open two new locat guess ill tri
1.0,alway delici meal alway leav feel satisfi
1.0,dip ingredi chopstick swirl around eat
1.0,first go enjoy garden terrac
1.0,husband perfect well do dri
1.0,everyon speak super friendli help will extra mile custom
1.0,pizza pretti good huge
1.0,sapphir indian restaur go nyc
1.0,cuisin gather authent taiwanes though differ accustom taipei
1.0,heartili recommend
1.0,heartland breweri far one best place nyc make new friend catch old one
1.0,almost hesitit write review atmospher great would hate becom crowd
1.0,often crowd weekend effici accur servic
1.0,co worker amaz small dish
1.0,atmospher unherald servic impec food magnific
1.0,order special grill branzino infus bone difficult eat
1.0,wait staff friendli food get better better
1.0,place month old perhap queen biggest secret
1.0,may bite pack weekend vibe good best french food find area
1.0,place much fun
1.0,glad
1.0,right l brooklyn nice cozi place good pizza
1.0,never treat rude
1.0,back soon
1.0,le pere pinard pre theater menu outstand
1.0,go insid start get excit
0.0,also order deliveri restaur forget half order
1.0,server check us mayb twice entir meal
1.0,howev ju good prais
1.0,montparnass mani time return often good reason
1.0,strong scent come leav right neg affect tast bud
1.0,lobster sandwich fantast
1.0,somewher eat happi
0.0,write bad review understand rao
0.0,stall could understand come less hour even bring us check yet
1.0,overal give
1.0,though spider roll may look like challeng eat soft shell crab hang roll well worth price pay
1.0,deep fri skewer good still rare find nyc
1.0,tri make reserv time host name
1.0,also recommend rice dish differ varieti conge rice porridg
0.0,tuna tartar appet die
1.0,one best restaur ever
1.0,restaur use pretti decent
1.0,oasi refin food though somewhat uneven often reach pinnacl new american fine cuisin chef passion kitchen precis execut evid fish dish soup
1.0,love wine chees delici french fare love artisan
1.0,love indian food consid quit expert
1.0,babi pizza get wish
1.0,plenti choic make creation
1.0,tini felt like eat someon live room
1.0,sit
1.0,overal oh ya even though wait deff worth
1.0,lava cake dessert incred recommend
1.0,vt babi pizza hope grow
1.0,terribl servic bland food mention unaccommod manag overal experi horribl
1.0,lahor great place duck late night need realli tasti food cheap like troubl finish amount food get four dollar
1.0,last time go seat tabl corridor next kitchen
1.0,good select win rang afford high end
1.0,nice restaur overal classic upscal italian decor
1.0,impress food
1.0,entir din experi wonder
1.0,wine select glass bottl wonder alway recommend friend make reserv go town
1.0,servic highli refin seat delay minut past reserv maitr apolog regularli keep us appris progress
1.0,order panang duck fantast
1.0,food usual good though ocasion wonder freshmess raw vegat side order
1.0,crappi servic two individu great
1.0,ask
1.0,wonder best deal notic line form wait one particular establish
1.0,authent indian amazin price
1.0,treat like royal
1.0,nice quiet small enough
1.0,ambianc relax stylish
1.0,never felt unwelcom last month jimmi bronx cafe
1.0,luckili save room bbq salmon sea bass crispi duck
1.0,ye use fanci ingredi even fanci ingredi make good pizza unless someon know get crust right
1.0,look outsid one would hesit enter hole wall realli
1.0,ye dal bukhara dam good kabab
1.0,look forward eat
1.0,come child alway come back tast
1.0,tuk tuk one comfort neighborhood joint know alway good meal fair price
1.0,glass leap lizard glass prosecco mussel everyth happi
1.0,food averag creme brule aw sugar char caramel smell kerosen
1.0,food alway tast fresh serv promptli
1.0,know live nearbi
1.0,pizza delici
1.0,entir famili horrifi
1.0,monthli basi friend get togeth girl night
1.0,pizza garlic knot great well order quit often deliveri alway super quick
1.0,great chines food nearbi wu liang ye grand sichuan block away
1.0,say murray anyth servic
0.0,place realli trendi forget import part restaur food
1.0,never disappoint red eye
1.0,hat chef
1.0,do back room away custom
1.0,servic could improv overal place understand import littl thing heavi black antiqu seem teapot one restaur experi
1.0,glad luxuri throw pay custom
1.0,pizza delici use fresh mozzarella instead cheap freez shred chees common pizzaria
1.0,excel place relax food one best citi new york
1.0,servic friendli never problem walk get tabl
1.0,atmospher crowd great bistro type vibe
1.0,check
0.0,first waitress complet unattent time saw odd restaur tabl get order wrong
1.0,go
1.0,food bland oili
0.0,
1.0,even better price afford well food realli good
1.0,fish fresh varieti fish noth ordinari
1.0,look dont know peopl write review ever decent place pleas tri someoth place
1.0,suan challeng loyalti
1.0,favorit meal pesto pizza hous salad good bottl wine
1.0,kruno beverag manag best bartend yet come across
1.0,ambianc music funki enjoy
1.0,food drink servic clearli among best citi
1.0,go late afternoon bite size food reflesh date
1.0,realli great deal consid get full four dollar
1.0,understand area folk need come romant allur ambianc five star servic featur sommlier complic maze captain back waiter come authent food tast experi
1.0,go mommi person could afford take
1.0,friend vacat ny refer chanc friend
1.0,last time go waitress come back take order
1.0,tri tandoori salmon
1.0,complet hook place ridicul
1.0,eat atmospher save desk disappoint experi
1.0,grant space smaller best servic find even largest restaur
1.0,recommend place friend alway get good respons
1.0,return mani time oasi mid town
1.0,love atmorpher peep
1.0,enjoy
0.0,
0.0,one favorit restaur miss
1.0,la rosa connect swing door mexican restaur pacifico
1.0,could handl better
1.0,servic attent suggest menu item right mark
1.0,night three cours meal everyth delici could lick plate clean would
1.0,pleas awar cash amex
1.0,even get push class famou ray sal rise carri father uncl legaci smile true love commun let forget outstand pizza
0.0,rather cramp busi restaur close earli
1.0,environ romant food horribl servic pathet gabriella lie everyth could
1.0,crawfish boil despit make mess ton fun quit tasti well
1.0,high expect place make reserv coupl month advanc special occas
1.0,serv warm soft fluffi interior
1.0,come tabl burn beyond recognit stringi
1.0,pad thai noodl sticki
1.0,never actual proper deliv time
1.0,among new th avenu restaur offer far one best valu money
1.0,frankli compar lunch versu mcd mani sandwich shop citi comparison
0.0,host rude point offens
1.0,crave haru great food especi hous roll stand wait build outisd head across street sake bar
1.0,narrow corridor lead tini space three tini white tile counter great deal mess stack bottl can small counter hold entre
1.0,food great
0.0,succul steak cook precis desir done accompani salad side look like leafi road kill
1.0,lunch come pickel slaw extra charg
1.0,decent wine reason price
1.0,conveni deliv right door
1.0,even wine glass good
1.0,nice famili own tradit restaur
1.0,would rather tri terrac sky water club price
1.0,dish favorit alway get go never get tire
1.0,also order chang mojito world
1.0,okay servic
1.0,thing wonder food except servic
1.0,pleasantli surpris
1.0,food aw atroci actual
1.0,never visit restaur
1.0,soup udon soy sauc water
1.0,anti pasta excel especi calamari fill pasta main
1.0,waitress suggest glass wine go well food
1.0,sister case
1.0,eat mani differ indian restaur
1.0,might busi counter give order food say love
1.0,particular sushi pleas everi choic includ cevich mix special crab dumpl assort sashimi sushi roll two type sake banana tempura
1.0,tri plain pizza fresh garlic eggplant
1.0,go
1.0,ok server wander around littl clueless enough server crowd get fine make small effort get attent
1.0,good luck get tabl
0.0,pick randomli without recommend someon sure expect
1.0,look nose like
1.0,planet thai great
1.0,servic aw
0.0,
1.0,ignor trendi wannab
1.0,takeout menu say keep eye expand menu offer italian dish wait
1.0,trust great devour time
1.0,girlfiend eat g last night
1.0,wish one near offic would go everyday
1.0,final
0.0,amma worst valu money experi nyc past year
1.0,experi person come thai food friend take
1.0,think would pretti good spot overpric overr
1.0,regardless whether two peopl two hundr peopl ahead host take name tell five minut
1.0,pizza good though
1.0,bottl wine cheap good
1.0,disapoint
1.0,walk in riski
1.0,differ beer offer thier guest make husband happi food delici must recommend dish must pumkin tortelini
1.0,give us dinner special ask
1.0,must crabmeat lasagna world chocol bread pud dessert
1.0,word advic save room pasta dish never leav tiramisu
1.0,good servic good price
1.0,recent go restaur co worker lunch amaz time
1.0,servic impecc unobtrus staff know know menu present meal attend need
1.0,ess bagel either sti town midtown far best bagel ny
1.0,food great
1.0,open late well late ever get night person
0.0,annoy thing though fact server seem train drive revenu
1.0,get food go find bench kick back plate dumpl
1.0,pleas tri filet mignon tender piec ever
1.0,everyth pretti good
1.0,still sit bar drink sangria face away bar turn back around go peopl next us say bartend take
1.0,someth busi holiday parti
1.0,sake menu overlook
1.0,would highli recommend
1.0,place great
1.0,drink amaz half till pm
1.0,back nha trang liter hundr time beef cub good
0.0,mani poor experi theater district truli excel find
1.0,get one overr restaur brooklyn
1.0,servic wine select ambianc outstand deserv recognit
1.0,go last night year anniverseri impress
1.0,rather pathet take hour seat us
1.0,seat promptli reserv howev servic slow
0.0,first slightli skeptic sushi restaur middl nyc
1.0,realli also servic good waiter friendli
1.0,suan recommend glad heed
1.0,food pretti good littl flavorless portion small includ dessert
1.0,visit least month
1.0,set far small street traffic nois
1.0,also place popular famili bother children run loos like wild anim come later night avoid
1.0,keep short
1.0,felt though eat pari
1.0,live shanghai life think food compar flagship green bo restaur
1.0,highli recommend cafe st bart food ambienc wonder servic
1.0,howev worth special trip
1.0,nice valu
1.0,gigino wagner park enjoy
1.0,quick import
1.0,nice restaur look good place host intim dinner meet busi associ
1.0,nyu student love place make fun young atmospher
1.0,food great servic name cantones
1.0,noth stand cook
1.0,joya use cool spot decent food color relax atmospher
0.0,problem go mcdonald destroy insid
1.0,prix fix menu worth everi penni get enough quantiti qualiti
1.0,time lunch one favorit citi
0.0,egg benedict brunch worst entir life tri remov hollondais sauc complet fail
1.0,work near best oatmeal neighborhood packag quick cook item
1.0,alway busi fast move
0.0,bad food heritag
1.0,menu look good except offer chilean sea bass server offer special write board outsid
1.0,sexi
1.0,food realli good onion soup one best ever
1.0,say bengali fast food joint clearli favorit
0.0,picki actual gross
1.0,overal solid restaur less pp includ wine solid deal well
1.0,sinc liter complet hole wall bite intimid first get quickli soon friendli staff welcom hesit ask help get
1.0,base review dinner place would reconsid revisit definit dim sum
1.0,cost extra turn regular roll insid roll roll tripl size rice
1.0,even john joe around corner place make name
1.0,melt littl mouth perfect consist fishi creami slightli butteri
1.0,final unabl make gin tonic find tonic
1.0,girlfriend convinc go night quick bite
1.0,dim sum ok tast fresh littl dish look steami hot also note lack chines
1.0,despit untast previou review
1.0,judg place prima faci tri believ home away home liter heart
1.0,sure everyon get favorit know sal know new york
1.0,think absolut brilliant well run busi oper
1.0,also
1.0,servic ok peopl get ask
1.0,friend speak much month final make time come ear dine
1.0,want good authent thai place place go
1.0,recommend get reserv even though saw peopl seat without one
1.0,thing moder enjoy grill chicken special edamam pure
1.0,good neighborhood restaur come
1.0,want roast duck pork chicken rice ginger tri
1.0,order menu leav feel like miss full experi
1.0,one authent shanghaines restaur us definit best manhattan chinatown
1.0,go back everi time citi
1.0,love th pink poni
1.0,eat fast order lot
1.0,staff accomod
1.0,agre previou review
1.0,eat club rove group nyc glutton
1.0,first open give restaur second chanc
1.0,go del frisco friday night boyfriend reserv
1.0,like sakagura feel much better tri yokocho
1.0,favor dinner see dont agre
1.0,definit great spot nice occas date
0.0,go wrong place
1.0,popular style izakaya sake small portion sake friendli dish
1.0,hurley like cheer everyon know name actual glad come
1.0,pretenti econom
1.0,food terrif servic classi attent without overbear
1.0,amaz place tri roti roll
1.0,fresh ingredi everyth make order
1.0,never problem charg meal tip food deliv quickli live minut walk
1.0,quick friendli servic
1.0,authent bistro
1.0,tasti suggest eat one meat tend mesh well averag american digest system
1.0,somewhat pricey heck
1.0,true place cheap
1.0,tri hot dog snappi delici
1.0,deliveri fast
1.0,south good deli area watch food across america pb find katz deli
1.0,nois level unbear convers imposs
1.0,person pan perfect size hungri night
1.0,highli recommend spici fri clam roll spider roll
1.0,one earlier peopl comment restaur get experi go menu posit way
1.0,conveni
1.0,thank bloom love trip
1.0,atmospher great look lay back scene inexpens way spend weekend afternoon
1.0,oh right probabl say someth nice
0.0,odd ave b odd place attract eclect crowd say least
0.0,stumbl leon think find quit gem certainli wrong
1.0,instead wast time support restaur care food
1.0,becom e ny italian food fare institut
1.0,get back lunch tamarind excel
1.0,head shoulder neighboor east st taj mahal also compar food qualiti much overprais underdeserv baluchi
1.0,man host promis save tabl parti sit parti tabl save mean both open around
1.0,tri cheesecak
0.0,sit eat subpar food manag proceed berat coupl employe put wrong contain condiment explain expens contain
1.0,david daytona beach fl
1.0,perhap
1.0,great indian food servic incred
1.0,go
0.0,area tri bagel shopp th street block away nd ave
0.0,rosario without doubt one greatest pizzeria exist
1.0,decor nice minimalist food simpl yet well present cook wine list match food well
1.0,salmon dish fine price pay expect type flavor
1.0,order tuna melt come chees make tuna sandwich
1.0,especi like chicken tikka naan dal
1.0,waiter attent except bill turn tabl finish
1.0,restaur look beauti green lawn hudson river statu liberti
1.0,wife alway enjoy young alway well train nevertheless friendli staff stori
1.0,gener like good restaur eat often kai way expens get
1.0,great place
1.0,sangria pretti tasti good hot muggi day
1.0,eat unless starv thai food work next door
1.0,tini williamsburg spot alway pleasantli surpris
1.0,peopl want great food plu great servic roxi place avoid
1.0,best ravioli ever
1.0,menu especi groundbreak everyth tri far well execut tasti
1.0,ive bunch time servic alway outstand
1.0,bill approxim lunch without drink
0.0,quit frankli worst sushi ever tri
1.0,food great servic ok
1.0,overal price tag expens someth expect
1.0,time do past
1.0,spice great thai food love inexpens appet
1.0,read review confirm
1.0,even overcharg last time
1.0,servic attent
1.0,make homemad mozzarella everi pie ultra fresh
1.0,fish overdo
1.0,great idea base restaur work detail peopl think good need go back shore town rethink tast like
1.0,sit main din room spectacular hand paint high ceil never know world outsid
1.0,visit bread bar januari restaur week pleas menu select servic
1.0,twice restaur
0.0,also make sure pay attent music pip quit weird select
1.0,could get much better din experi amount money lot french bistro
1.0,establish score big point present style
1.0,rest dim sum though pricey chinatown standard worth
1.0,good food
1.0,wait staff friendli overli effici
1.0,surprisingli noth could truth
1.0,dim sum howev good
1.0,better roof sutton place year old intern jab rib night
1.0,servic alway friendli effici
1.0,go combin differ seafood dish appet
1.0,great place casual date entertain client lunch
1.0,receiv apolog leav see show without dinner
0.0,tabl next us ask crush grape long overdu bottl wine final arriv
1.0,price good
1.0,could catch waiter eye ignor us
1.0,fantast place
0.0,plain simpl bad thai food
1.0,definit restaur skip
1.0,refus seat parti weekend
1.0,usual vs item per dish
1.0,certain stapl excel burger pasta food realli point
1.0,dim sum spectacular
1.0,food
1.0,waitress seem concern look good actual waitress
1.0,place larger featur adequ seat unlik joint bar deserv mention
1.0,ripoff
1.0,throw fianc surpris th birthday dinner happier
0.0,
1.0,food awesom
1.0,good music great food speedi servic afford price
1.0,small wait shorter expect
1.0,lobster sandwich although good nearli enough warrant price
1.0,may owner alway smile warmli greet
1.0,live ny year place
1.0,read mocaramel review felt compel respond
1.0,side ok incred salti
1.0,hit spot everi time
1.0,reason seafood menu unavail except salmon
1.0,larg place cute cozi
0.0,fool crowd peopl
1.0,way
1.0,beverag excel dessert good
0.0,host waitress incred rude everyth could rush us
1.0,next time dare order anyth els simpl asian appet drink
0.0,pleas think go stay wait disappoint
1.0,must say view nyc beauti
1.0,like nice light meal asian accent long tan good place slope
1.0,go nice dinner like nice ambianc well good food
1.0,lazi folk want come alphabet citi say good stay
1.0,otherwis place great servic price nice friendli atmospher
1.0,highli recommend great valu excel sushi servic
1.0,place would much better serv run group actual understand custom servic
1.0,servic good excel along attitud
1.0,fourth tri two year period do
1.0,food awesom definit tri strip bass
1.0,music get littl loud time make want lean closer beauti wife get whiff corriand
1.0,black white shake come good also
1.0,simpli best meal nyc
1.0,probabl would go
1.0,pass restaur sometim final decid go dinner
1.0,seat tri get maximum amount peopl restaur nice neighbor dine
1.0,order chu chu curri friend order pad thai chicken
1.0,go monday prix fix experi food compar blue ribbon
1.0,tuk tuk second favorit neighborhood thai place first joya
1.0,howev get amaz pastrami soup hit spot
1.0,great bagel make old fashion way
1.0,realli good inexpens sushi
1.0,person favorit everyth bagel lox spread bagl unbeliav good
1.0,even complain food least tast good qualiti food crappi
1.0,next hour half stand crowd lobbi area touristi restaur listen type explan seat
1.0,pizza delici proprietor one nicest nyc
1.0,also good client lunch meet esp
0.0,ever pay even wave magic wand ever get us back repeat perform
1.0,decor dark cool sooth food present spectacular consid low price
1.0,waitstaff nice suggest swordfish husband enjoy meal
1.0,set casual romant
1.0,horribl
1.0,terribl terribl manag deserv shut
1.0,great friendli servic fast seat fast deliveri excel sushi
1.0,dessert appeal stuffi overpric french restaur
0.0,italian food flavor sort surpris ue servic turn nightmar attent sort remind ny yanke late matter bad look know ralli around corner
1.0,mani review notic order often slow arriv particularli true even problem lunch time
1.0,find food outstand particulari salmon dish
1.0,mizu home creativ uniqu roll find anywher els
1.0,new york time review place three time alreadi know go good
1.0,baluchi solid food nice decor reason price
1.0,emilio owner often sit front tabl greet guest come go
1.0,spice three time twice lunch dinner
1.0,moul excel lobster ravioli salti
0.0,come restaur expect surpris leav bore overcharg
1.0,cheap eat nyc dosa
1.0,atmospher noisi waiter liter walk around thing fast
1.0,seafood amaz good wine list ever chang menu alway offer great surpris
1.0,usual order wine indian comment wine list win
1.0,pastrami corn beef juici pile high ask extra rye bread
1.0,glass champagn expens bottl wine dinner drink
1.0,realli though season
1.0,food ok least food avail
1.0,dinner time turn around mount huge comeback
1.0,waitress patient us food phenomen
1.0,ambienc nice servic great
1.0,solid wine list knowledg staff friendli owner adventur ever chang menu keep us come back
0.0,peopl work alway friendli forget new york sometim
1.0,even see menu waiter describ special main dish
1.0,locat ambienc ok food make
1.0,otherwis good stuff late nite eat
1.0,dinner ok noth would
1.0,thick slightli soggi
1.0,sit insid
1.0,love know gourmet food excel
1.0,plan come look forward tri assort bruschetta panini
1.0,great peopl watch other
1.0,mayb unintent mistak experi restaur appreci practic
1.0,two peopl parti felt like someth els volar immedi oblig two great dish regular menu
1.0,offer subpar servic person
1.0,waitress rememb friendli know regular fri mini bun condens milk assort fruit beancurd
1.0,go back
0.0,diner food bistro price bummer
1.0,friend go regularli two year
1.0,wow miss one tri long tan last week first time know ny time mani neighborhood alreadi know
1.0,go empti stomach leav feel like babi veal calf ok bad joke see
0.0,thoroughli enjoy food annoy scream across tabl convers
1.0,girl definit go back
1.0,first time sushi outstand second time littl bland
1.0,portion larg server alway surpris us differ starter
1.0,delici bagel especi right oven
1.0,ive pass spot ton time alway want go
1.0,food hot tasti
1.0,sever time never dissapoint
1.0,one great place eat pizza good place take pizza
1.0,server help friendli
1.0,tri green curri veget
1.0,would recommend place good date spot want drop ton cash
1.0,sure happen time kind treatment buy repeat busi
1.0,place
1.0,first place romant claim citysearch editori review
1.0,second walk heavi vault like door peopl anticip arriv get sens go din ride lifetim
1.0,much reason price
1.0,ventur island manhattan seem find great italian restaur drive corona
1.0,food tasti portioin tini even high qualiti restaur
1.0,friend milan pleasantli surpris arriv everyon speak italian
0.0,other go restaur feel sad eat
1.0,make reserv go keep
1.0,pad thai excel well
1.0,big gawki outsid
1.0,mari mani time like
1.0,search get cold freez weather go think deli
1.0,recommend lunch special tast regular chines restaur
1.0,highli recommend
1.0,best thing soho
1.0,go last night pleasant experi
1.0,park block nina place look nice peopl obvious enjoy pizza
1.0,come boyfriend anniversari highli recommend friend
1.0,peopl lifetim experi
1.0,food k better get good neighborhood restaur
1.0,pot sticker great tempura dish great
1.0,think stuff better disney
1.0,read good review restaur decid give tri two friend
1.0,entre rang overli expens new york citi definit better food rang sapphir despit love atmospher like restaur return
0.0,orsay without doubt one best valu authent french food nyc
0.0,search realli hard restaur new york could realli feel unwant ignor final find
1.0,defin place go want impress someon
1.0,well deliveri take ever food usual cold
1.0,staff nonsens
1.0,chines dessert know health benefit addit sweet
1.0,wonder holiday time
1.0,realli larg portion
1.0,place lot fun
1.0,great thai restaur friendli staff
1.0,eat ginger hous sever time alway good
1.0,order smoke salmon roe appet flavor
1.0,go lunch coupl week ago saturday thoroughli impress food
1.0,recommend garlic shrimp okra bindi anyth lamb
1.0,japanes nativ live tristat area year amaz place
1.0,give idea good think end go ping three weekend row
1.0,leav coupl stand door say anoth waiter hurri
1.0,menu impress select rang burger steak escargot
1.0,fact two peopl could realli share one plate
1.0,food great authent
1.0,repeat visit definit back
1.0,happi hour
1.0,good casual dinner jean sneaker
1.0,love yuka
1.0,anyway food good price right decent wine list
1.0,go go hurri everyon find
1.0,price higher dine chicken tikka marsala quit good
1.0,bring whole famili back next time
1.0,place mani differ style pizza amaz
1.0,photo restaur web site way better real look
1.0,food lousi sweet salti portion tini
1.0,coconut rice good
1.0,take minut bring appet
1.0,guarante delight
1.0,come neighborhood spot year
1.0,overal would recommend go back
1.0,food great
1.0,pair food excel beer tap well price wine list
1.0,like music blast system isnt great want pay least dollar bottl minimun love
1.0,co worker state food amaz wonder hear place
1.0,anyway last time cross williamsburg
1.0,metrazur beauti spot overlook main termin
1.0,friendli staff actual let enjoy meal compani
0.0,feel stress nois congest around offic head cafe st bart
1.0,guess soul ad launch big model career
1.0,restaur rather small lucki get tabl quickli
1.0,besid vacat
1.0,love cozi around way rest
1.0,qualiti food excel price cheap stick pork fish chicken lamb veget
1.0,leav without tri one night tokyo
1.0,save time troubl skip one
1.0,favorit italian restaur new york citi
1.0,place littl tight cold day seat entranceway pretti drafti
1.0,appet excel good zabar barney greengrass reason price buy pound
1.0,big bun
1.0,food fresh delici reason price
1.0,raga stand interest fusion french indian cook
1.0,tip skip turnip cake roast pork bun egg custard
1.0,bagel fabul
1.0,oh ye lie phone claim seat garden cours seat avail
1.0,although typic kind water would like question servic good overal relax place eat
1.0,food good great deal place self great
1.0,food option rule
1.0,great choic cost great deal
1.0,anybodi like place must differ planet greasi dri tasteless complimentari
1.0,eat march order pre theatr cours dinner wine flight
1.0,defin check
1.0,probabl much busier lunch seldom crowd dinner close downtown
0.0,calzon horrif bad vomit induc yuck
0.0,take forev get drink almost alway forget bring someth although dont forget charg
1.0,place beauti bar scene seem happen
1.0,saturday nov th group work come peopl staff amaz accomod us
1.0,good spread great beverag select bagel realli tasti
0.0,first waiter serv us neglect fill us special would choos know
1.0,back
1.0,also top meal delici perfect slice tiramisu
1.0,seem like place local like peopl work like
1.0,check secret back room
1.0,also attach angel share cool romant bar
1.0,authent food real servic rush get sometim tri push door
1.0,stick gulab jamun
1.0,amaz poor review find place standout italian area flood italian great price great atmospher good servic wonder wine list
1.0,back back diner tabl behind wait staff hoist tray head squeez past us
0.0,theater block away delici meal beauti room
