lemmas,bigrams,depenrel
"['stick', 'excel', 'cheap', 'fish', 'price', 'food', 'chicken', 'qualiti', 'pork', 'veget', 'lamb']",,quality is;
"['without', 'one', 'leav', 'tri', 'night', 'tokyo']",n't leave;,n't leave;night trying;
"['skip', 'one', 'save', 'time', 'troubl']",,time save;one skip;
"['favorit', 'new', 'citi', 'york', 'restaur', 'italian']",favorite italian;italian restaurant;new york;,this is;favorite restaurant;italian restaurant;new city;
"['entranceway', 'littl', 'seat', 'tight', 'place', 'pretti', 'day', 'drafti', 'cold']",little tight;cold day;pretty drafty;,place is;cold day;seating be;
"['excel', 'buy', 'greengrass', 'pound', 'appet', 'reason', 'price', 'good', 'zabar', 'barney']",just as;as good;reasonable price;,appetizing is;reasonable price;
"['bun', 'big']",too big;,they were;
"['delici', 'price', 'food', 'fresh', 'reason']",reasonably priced;,food is;
"['interest', 'cook', 'stand', 'raga', 'indian', 'fusion', 'french']",interesting fusion;indian cooking;,raga stands;interesting fusion;french cooking;
"['tip', 'skip', 'roast', 'bun', 'turnip', 'custard', 'pork', 'cake', 'egg']",few tips;,few tips;cake skip;
"['fabul', 'bagel']",,bagels are;
"['ye', 'seat', 'garden', 'avail', 'cours', 'phone', 'oh', 'claim', 'lie']",not available;,they lie;they seating;seats are;not are;
"['typic', 'although', 'servic', 'question', 'like', 'kind', 'water', 'place', 'eat', 'relax', 'overal', 'good', 'would']",very relaxing;,they do;typical do;kind like;you like;questions like;service was;
"['self', 'deal', 'great', 'food', 'place', 'good']",very good;great deal;,food was;great deal;place was;self was;
"['food', 'rule', 'option']",,
"['deal', 'cost', 'great', 'choic']",great choice;great deal;,great choice;great deal;
"['anybodi', 'must', 'tasteless', 'like', 'dri', 'differ', 'place', 'complimentari', 'greasi', 'planet']",different planet;tasteless are;,anybody be;who likes;place likes;different planet;greasy are;
"['theatr', 'pre', 'cours', 'order', 'eat', 'dinner', 'wine', 'flight', 'march']",pre-theatre 3-course;3-course dinner;wine flight;,we ate;dinner ordered;
"['check', 'defin']",definately check;,it check;
"['downtown', 'close', 'busier', 'dinner', 'probabl', 'seldom', 'lunch', 'crowd', 'much']",probably much;much busier;seldom crowded;too close;,it 's;close dinner;
"['calzon', 'yuck', 'vomit', 'horrif', 'induc', 'bad']",,calzones are;horrific yuck;bad yuck;inducing yuck;
"['take', 'forev', 'alway', 'bring', 'although', 'almost', 'forget', 'get', 'someth', 'drink', 'dont', 'charg']",almost always;always forget;bring something;,it takes;drink get;they forget;something bring;they forget;you charge;
"['scene', 'bar', 'happen', 'seem', 'place', 'beauti']",,place is;scene seems;
"['come', 'staff', 'th', 'nov', 'accomod', 'work', 'peopl', 'us', 'saturday', 'group', 'amaz']",,i had;group come;staff was;us accomodate;
"['beverag', 'great', 'select', 'tasti', 'spread', 'realli', 'good', 'bagel']",good spreads;great beverage;really tasty;,good spreads;spreads tasty;great selections;
"['know', 'special', 'waiter', 'fill', 'serv', 'first', 'choos', 'us', 'neglect', 'would']",,waiter neglected;who served;us served;us fill;which chosen;i chosen;i known;
['back'],,we be;
"['also', 'perfect', 'delici', 'slice', 'top', 'meal', 'tiramisu']",perfect slice;,meal top;delicious slice;
"['seem', 'like', 'place', 'peopl', 'local', 'work']",here liked;,it seems;this is;locals liked;it liked;
"['secret', 'check', 'room', 'back']",secret back;,secret room;back room;room check;
"['bar', 'also', 'romant', 'angel', 'attach', 'share', 'cool']",also attached;more romantic;romantic bar;,it attached;which is;cool bar;romantic bar;
"['rush', 'servic', 'authent', 'real', 'food', 'tri', 'push', 'sometim', 'get', 'door']",authentic food;real service;not just;,authentic food;they have;real service;service have;not rush;you get;they try;you push;
"['gulab', 'stick', 'jamun']",,
"['area', 'servic', 'review', 'poor', 'great', 'price', 'wonder', 'place', 'standout', 'wine', 'list', 'atmospher', 'good', 'flood', 'find', 'italian', 'amaz']",poor reviews-;reviews- i;standout italian;italian- great;great prices;good service;wonderful wine;wine list;,i am;poor reviews-;i find;place be;italian- prices;great prices;great atmosphere;good service;wonderful list;
"['behind', 'staff', 'diner', 'head', 'tray', 'past', 'wait', 'tabl', 'hoist', 'squeez', 'us', 'back']",was back-to-back;wait staff;hoist trays;,i was;staff had;trays hoist;they squeezed;
"['theater', 'delici', 'block', 'beauti', 'room', 'meal', 'away']",delicious meal;beautiful room;,we had;delicious meal;meal had;beautiful room;
"['usual', 'final', 'littl', 'mari', 'line', 'leari', 'wait', 'glad', 'tri', 'first', 'crowd', 'small']",little leary;usually have;i 'm;glad i;finally tried;,i was;little leary;it 's;you have;i 'm;i tried;it tried;
"['bite', 'littl', 'dissappoint', 'least', 'gem']",not dissappointed;least bit;little gem;,we dissappointed;not dissappointed;least bit;little gem;
"['also', 'inexpens']",also very;very inexpensive;,
"['order', 'restaur', 'eat', 'dinner', 'time', 'mani']",only eaten;many times;,we eaten;we ordered;many times;times ordered;
"['come', 'enough', 'keep', 'get', 'reason', 'back']",enough reasons;,i got;enough reasons;reasons got;
"['chines', 'coupl', 'far', 'anywher', 'vinegar', 'america', 'ny', 'jelli', 'northeastern', 'frog', 'place', 'dessert', 'simmer', 'black', 'feet', 'close', 'pig', 'serv', 'varieti', 'ginger', 'know']",only chinese;chinese desserts;anywhere close;northeastern america;serves desserts;pig feet;black vinegar;,this is;only place;chinese place;i know;northeastern america;that serves;desserts serves;black vinegar;
"['price', 'reason', 'food', 'great']",reasonably priced;,food is;
"['charact', 'enjoy', 'make', 'realli', 'experi']",really make;enjoyable experience;,characters make;enjoyable experience;
"['would', 'cuisin', 'thai', 'like', 'sea', 'definit', 'recommend']",definitely recommend;recommend sea;thai cuisine;,i recommend;sea recommend;you like;cuisine like;
"['vittorio', 'alway', 'year', 'although', 'littl', 'visitor', 'consist', 'famili', 'frequent', 'host', 'even', 'treat', 'crew', 'busi', 'rememb', 'abl', 'gem', 'amaz']",always treated;not-so-little gem;even able;not-so-frequent visitor;,host treated;me treated;not little;little gem;gem does;it amazing;he 's;consistent visitor;not frequent;frequent visitor;visitor remember;
"['restuar', 'buck', 'seem', 'tabl', 'authent', 'larg', 'round', 'accomod', 'hop', 'save', 'eat', 'sever', 'group', 'taiwanes']",not large;several round;large groups;authentic taiwanese;,restuarant is;not is;several tables;round tables;tables have;large groups;groups accomodate;buck save;authentic taiwanese;taiwanese eat;
"['even', 'could', 'eat', 'fine', 'fri', 'best', 'husband', 'exclaim', 'portion', 'sever', 'say', 'french']",several more;even exclaimed;french fries;,husband said;he eaten;several more;more eaten;portion was;he exclaimed;french fries;fries were;he had;
"['cannot', 'wrong', 'go', 'place']",not go;,you go;not go;
"['late', 'old', 'type', 'dinner', 'place', 'raucu', 'run', 'friend']",old friends;raucus dinner;,it is;old friends;late dinner;dinner have;
"['regular', 'dish', 'disappoint', 'special', 'delici', 'fare', 'food', 'never', 'menu']",regular menu-fare;,food is;regular fare;dishes are;never are;
"['price', 'line']",,prices are;
"['pizza', 'dough', 'tomato', 'ny', 'chees', 'sauc', 'make', 'one', 'fresh', 'import', 'better', 'mozz', 'flour', 'basil', 'combin']",fresh tomato;fresh mozz;imported flour;better pizza;,combination makes;fresh sauce;fresh mozz;they make;imported flour;this is;better pizza;
"['effici', 'food', 'quickli', 'prepar']",,food prepared;
"['shell', 'small', 'fortun']",small fortune;,i had;small fortune;fortune shell;
"['heaven', 'roll', 'new', 'paneer', 'indian', 'food', 'tri', 'piec']",indian food;,new all;food indian;roll try;it is;
"['come', 'look', 'fanci', 'delici', 'appet', 'plat', 'food', 'varieti', 'sinc']",very appetizing;fancy plates;,food looked;it came;fancy plates;
"['mozzerella', 'chees', 'plain', 'slice', 'fresh', 'phenomen']",fresh mozzerella;plain cheese;cheese slice;,fresh slices;slices are;plain slice;
"['everi', 'curri', 'restaur', 'row', 'liter', 'tri']",,i tried;restaurant tried;
"['avoid', 'terribl', 'food', 'cost', 'overal', 'say', 'would']",say avoid;,food is;i have;
"['monster', 'rd', 'number', 'th', 'one', 'sushi', 'twice', 'time', 'st']",,i been;46th st;23rd st;
"['someth', 'food', 'work', 'get', 'unfortun']",,food was;not was;
"['surprisingli', 'crosbi', 'cater', 'turnov', 'e', 'constantli', 'line', 'open', 'food', 'fresh', 'cabbi', 'pakistani', 'expect', 'st']",constantly open;crosby st.;more turnover;surprisingly fresh;,it 's;pakistani cabbies;more turnover;you expect;
"['filet', 'garlic', 'mash', 'mignon']",filet mignon;garlic mash;,i had;mignon had;garlic mash;
"['steak', 'tomato', 'roast', 'soup', 'pre', 'go', 'specif', 'chevr', 'frite', 'creme', 'marvel', 'pm', 'brule', 'menu', 'theater']",i went;pre-theater menu;roasted tomato;,i went;pre theater;roasted soup;it was;
"['impress', 'waitstaff', 'polit', 'close', 'help', 'quarter', 'attent', 'feat']",impressive feat;such close;close quarters;,waitstaff were;impressive feat;such quarters;close quarters;
"['insid', 'go', 'want', 'leav']",n't want;,you want;n't want;
"['bring', 'everi', 'get', 'love', 'chanc', 'friend']",bringing friends;,i loving;friends bringing;i do;chance do;i get;
"['size', 'person', 'bread', 'arugula', 'want', 'super', 'begin', 'delici', 'make', 'like', 'favourit', 'tasti', 'top', 'margarit', 'come', 'babi', 'howev', 'peter', 'prosciutto', 'warn', 'pizza', 'salad', 'actual', 'cold']",super tasty;personal sizes;however be;favourite pizza;margarite pizza;cold prosciutto;,bread is;you want;more want;pizza is;personal sizes;favourite pizza;pizza is;cold prosciutto;
"['ye', 'worth', 'felt', 'price', 'high']",,prices are;i felt;it was;
"['stagnat', 'bruschetta', 'palat', 'select', 'larg', 'tramezzini', 'keep', 'panini']",large selection;,large selection;selection keep;tramezzinis keep;palate keep;
"['despit', 'alway', 'fact', 'diner', 'lot', 'go', 'waiter', 'way', 'busi', 'help', 'often', 'find']",always found;often busy;,waiters go;they are;
"['life', 'chef', 'give', 'innov', 'cuisin', 'dish', 'genuin', 'without', 'new', 'out', 'old', 'restaur', 'fare', 'indian', 'burn', 'tasti', 'realli', 'heavi', 'classic']",n't classical;classical restaurant;new life;old cuisine;really innovative;tasty dishes;genuinely indian;same old;old restaurant;,this is;n't is;classical fare;chef given;new life;life given;old cuisine;innovative dishes;that are;heavy outs;old outs;
"['cater', 'owner', 'truli', 'need']",,owner caters;
"['take', 'real', 'food', 'pride', 'busi']",real pride;,he takes;real pride;pride takes;
"['everi', 'visit', 'saul', 'new', 'york', 'smith', 'make', 'restaur', 'street', 'point', 'time']",new york;visit restaurant;smith street;,new york;i make;it point;saul visit;smith street;
"['magnific', 'go', 'birthday', 'night', 'boyfriend', 'say', 'celebr']",i went;other night;,boyfriend went;birthday celebrate;other night;all is;i say;it was;
"['earli', 'prix', 'enjoy', 'montparnass', 'go', 'pre', 'want', 'fix', 'meal', 'theater', 'nice']",enjoyable meal;pre-theater prix-fixe;,you want;nice meal;enjoyable meal;meal want;
"['alway', 'year', 'provid', 'food', 'qualiti', 'wine', 'pleasur', 'experi', 'din']",always provided;pleasurable dining;,it provided;pleasurable experience;experience provided;
"['tho', 'go', 'back', 'would']",,i go;
"['dish', 'pick', 'noodl', 'help', 'order', 'chicken', 'certainli', 'fri', 'pork', 'cute', 'photobook', 'menu', 'chop', 'group', 'touch']",cute touch;certainly helped;fried chicken;noodle dishes;,menu was;cute touch;group helped;i pick;fried chicken;chicken pick;that ordered;we ordered;
"['two', 'leav', 'larg', 'noth', 'peopl']",too large;,nothing left;
"['cannot', 'citi', 'indian', 'imagin', 'food', 'better']",not imagine;better indian;indian food;,i imagine;not imagine;better food;indian food;food imagine;
"['sit', 'privaci', 'littl', 'romant', 'close', 'date', 'great', 'tabl', 'corner', 'place', 'tri', 'get', 'booth']",great romantic;romantic place;little privacy;,great place;romantic place;place try;table get;little privacy;
"['pleasant', 'surpris']",pleasant surprise;,pleasant surprise;
"['take', 'elsewher', 'chees', 'face', 'basic', 'tell', 'manag', 'open', 'sandwich', 'busi', 'ask']",open faced;cheese sandwich;basically told;,i asked;open faced;faced sandwich;me told;business take;
"['mind', 'go', 'chart', 'hous', 'nois']",n't mind;then go;,you mind;n't mind;noise go;
"['us', 'home', 'back', 'get']",,we got;most got;
"['pm', 'get']",,
"['well', 'good', 'bread']",very good;good breads;as well;,good breads;
"['real', 'naan', 'happen', 'ask']",just ask;real naan;,this happens;real naan;
"['squid', 'visit', 'half', 'fan', 'option', 'recent', 'price', 'night', 'saturday', 'ined']",were fans;inedible squid;recent visit;,we were;half price;inedible squid;recent visit;
"['would', 'inch', 'care', 'say', 'away', 'tri', 'realli', 'yo', 'sittingnext']",really do;n't care;,yo care;n't care;who is;which is;i say;it try;
"['pizza', 'pasta', 'homemad', 'terrif']",homemade pasta;,pizza is;homemade pasta;
"['definit', 'neighborhood', 'favorit']",,
"['especi', 'stand', 'ofr', 'valu', 'money', 'wonder', 'place', 'point']",wonderful place;stand points;value ofr;ofr money;,this is;wonderful place;stand points;money value;
"['happen', 'friday', 'even', 'one', 'first', 'encount', 'friend']",first encounter;,first encounter;encounter happened;
"['dollar', 'soup', 'mushroom', 'exampl', 'oz']",,example is;which was;
"['that', 'five', 'big', 'deal', 'servic', 'exactli', 'realli', 'star']",not exactly;not really;big deal;,service is;not is;that s;not s;big deal;
"['peopl', 'wait']",other people;,other people;
"['tast', 'sensat', 'delight', 'chocol', 'rasberri', 'mint', 'begin', 'delici', 'incred', 'appet', 'scallop', 'sorbet', 'souffl']",beginning appetizers;delicious chocolate;rasberry mint;,appetizers beginning;scallops were;delicious chocolate;sorbet rasberry;we delighted;
"['ou', 'tri', 'must', 'restaur']",,ou try;restaurant try;
"['return', 'never', 'leav']",,we left;never return;
"['consist', 'good', 'tapa', 'japanes']",consistently good;good japanese;japanese tapas;,good tapas;japanese tapas;
"['apolog', 'week', 'restaur']",restaurant week;,
"['rice', 'everyth', 'fish', 'absolut', 'seawe', 'good', 'amaz']",absolutely amazing;,goodness was;
"['littl', 'iffi', 'favorit', 'know', 'one', 'indian', 'restaur', 'nyc', 'place', 'start']",little iffy;favorite indian;indian restaurants;,place started;little iffy;iffy started;favorite restaurants;indian restaurants;i 'm;i know;
"['also', 'week', 'restaur', 'great', 'job']",also do;great job;,they do;great job;job do;
"['woman', 'meet', 'go', 'recent', 'restaur']",i went;i met;,i went;that met;i met;
"['ice', 'ever', 'biscuit', 'dish', 'sausag', 'sardin', 'offer', 'uniqu', 'freshest', 'whole', 'larg', 'fresh', 'tasti', 'shrimp', 'cream', 'amaz', 'pistachio', 'best', 'lamb']",very tasty;large whole;whole shrimp;amazing pistachio;freshest i;ever had;,dishes were;unique tasty;large shrimp;whole shrimp;amazing cream;pistachio cream;i had;
"['aforement', 'line']",aforementioned line;,this is;aforementioned line;line was;
"['reliabl', 'food', 'moder', 'price']",,food is;price is;
"['professor', 'bitter', 'tell', 'week', 'mix', 'asid', 'yet', 'blazer', 'boy', 'arent', 'hipster', 'need', 'type', 'black', 'nyu', 'frat', 'cant', 'see', 'understand', 'student', 'smith', 'cougar', 'marri', 'sleep', 'strang', 'beard', 'courdoroy']",courdoroy blazer;nyu student;strange mix;smith types;bitter cougars;,bearded type;nyu student;he sleeping;you see;strange mix;mix see;frat boys;types smith;who need;they are;black cougars;bitter cougars;who understand;they are;
"['servic', 'lot', 'great', 'could', 'food', 'better', 'atmospher', 'ambianc']",,ambiance were;food been;
"['alway', 'satisfi', 'go', 'leav', 'weekend', 'extrem', 'full']",always go;extremely full;,we go;
"['place', 'run', 'dont', 'still']",still running;,i do;place running;
"['smile', 'drink', 'server', 'food', 'serv', 'us', 'realli', 'cool']",really cool;,server was;us served;food served;
"['east', 'search', 'stumbl', 'indian', 'restaur', 'sixth', 'food', 'street', 'block']",indian restaurants;east sixth;sixth street;,we were;indian restaurants;east street;sixth street;
"['usual', 'alway', 'excel', 'go', 'great', 'thai', 'sushi', 'food', 'thailand', 'hit', 'planet']",always been;i go;there usually;,thailand been;i go;which is;thai food;food is;
"['chef', 'jason', 'short', 'track', 'move', 'naron', 'hear', 'low', 'excit', 'truli', 'sterl', 'record', 'term', 'point']",very excited;short-term chef;truly was;low point;,short term;narone moved;he was;low point;sterling record;
"['experi', 'excel']",excellent experience;,excellent experience;
"['worth', 'downtown', 'citi', 'stop', 'close', 'hall', 'well', 'subway', 'trip']",downtown subway;,
"['rude', 'servic', 'tabl', 'unattent', 'kid', 'group', 'loud', 'share']",loud group;,i had;table share;loud group;service was;
"['could', 'want']",,more want;you want;
"['person', 'type', 'go', 'great', 'like', 'entertain', 'eat', 'place', 'scar']",great place;,you are;who likes;this is;great place;
"['wrong', 'go', 'see']",n't see;,i see;n't see;you go;
"['pizza', 'garlic', 'tomato', 'skimp', 'sauc', 'sooo', 'fresh', 'good']",sooo good;fresh tomatoes;n't skimp;,sauce sooo;garlic tomatoes;they skimp;n't skimp;
"['outdoor', 'delight', 'seat', 'perfect', 'recent', 'yorki', 'decid', 'tri', 'sinc', 'locat']",recently decided;outdoor seating;,we decided;location try;they have;outdoor seating;seating have;perfect seating;i had;yorkie had;
"['ice', 'salmon', 'mesclun', 'enjoy', 'cours', 'husband', 'cream']",,husband had;mesclun had;he enjoyed;courses enjoyed;
"['curtain', 'problem', 'call', 'tell', 'wait', 'pm', 'twenti', 'minut', 'would']",,we told;wait was;
"['usual', 'go', 'food', 'certainli', 'place', 'relax', 'good']",usually good;certainly is;relaxing place;,food is;it is;n't is;relaxing place;
"['good', 'open', 'hr', 'tell']",,i told;it is;open 24hrs;which is;
"['fabul', 'super', 'staff', 'live', 'wonder', 'great', 'fare', 'knowledg', 'friendli', 'jazz', 'brunch', 'chilaquil', 'awesom', 'bistro']",knowledgable staff;fabulous bistro;wonderful jazz;great live;live jazz;,friendly staff;fabulous fare;bistro fare;wonderful brunch;great jazz;live jazz;chilaquiles were;
"['fantast', 'price']",,prices were;
"['place', 'great']",great place;,great place;
"['liquer', 'courtesey', 'still', 'bill', 'quibbl', 'hous', 'pour', 'set', 'measur']",pour-your-own measures;were courtesey;,quibbles were;pour measures;own pour;which were;
"['littl', 'servic', 'also', 'industri', 'someon', 'tabl', 'could', 'work', 'busi', 'understand', 'attent']",little more;more attentive;also works;,service been;who works;i understood;they were;
"['mind', 'thai', 'food', 'never', 'blow']",not mind-blowing;never is;,it 's;not 's;thai food;food is;never is;never be;
"['bite', 'roast', 'though', 'budget', 'experi', 'melt', 'order', 'well', 'food', 'tri', 'select', 'pork', 'fat', 'mouth', 'wish', 'consid', 'longer', 'good', 'belli']",very good;i wish;melt-in-your-mouth experience;,food was;we tried;selection tried;i wish;belly roasted;that ordered;i ordered;fat was;melt experience;
"['super', 'although', 'go', 'one', 'less', 'anoth', 'night', 'cheesi']",super cheesy;less cheesy;,we went;it was;super cheesy;it was;less cheesy;
"['littl', 'though', 'even', 'talk', 'yell', 'loud']",little loud;n't have;,it is;you have;n't have;
"['sapphir', 'twice', 'food', 'fine', 'good', 'time']",sapphire twice;not good;,i been;food was;not if;
"['still', 'kinda', 'enjoy', 'close', 'nosiy', 'tabl', 'dinner', 'place', 'beauti', 'togeth', 'nice']",kinda nosiy;beautiful place;nice dinner;,it is;it 's;beautiful place;nice dinner;dinner enjoy;
"['surprisingli', 'disappoint']",surprisingly disappointed;,
"['pizza', 'tast', 'fact', 'cheap', 'love', 'good']",so good;so cheap;,i love;fact love;pizza tastes;
"['treat', 'nicki', 'nose', 'bar']",,nose is;
"['foo', 'go', 'rubi', 'work', 'group']",i went;ruby foo;,i went;foo ruby;
"['yet', 'place', 'kick', 'amaz']",n't been;,i 'm;we kicked;n't kicked;
"['great', 'friendli', 'servic', 'prompt']",,service was;
"['oil', 'virgnin', 'oliv', 'salad', 'delici', 'eat', 'dress', 'extra', 'chop', 'realli', 'lemon', 'nice', 'lamb']",n't eat;as delicious;really nice;nice dressed;extra virgnin;virgnin olive;olive oil;,i eat;n't eat;chop eat;delicious chop;salads are;
"['sushi', 'aw']",,sushi was;
"['nyc', 'year', 'origin', 'katz']",nyc original;,katz been;nyc original;
"['excel', 'dainti', 'dish', 'indian', 'restaur', 'avenu', 'one', 'nearbi', 'lexington', 'get', 'meal', 'cost', 'mani']",excellent meal;many indian;indian restaurants;nearby lexington;,you get;excellent meal;meal get;many restaurants;indian restaurants;nearby lexington;lexington avenue;dishes get;
"['pickl', 'ici', 'beer', 'buttah', 'like', 'sandwich', 'pastrami', 'pleasur', 'experi', 'wash', 'cold']",pleasurable experience;,sandwich was;cold beer;it wash;it was;pleasurable experience;
"['pizza', 'drench', 'rest', 'plain', 'soggi', 'middl', 'truffl', 'gener', 'make', 'mushroom', 'third', 'creativ', 'oil', 'wild', 'fornini', 'nothingon']",creative wild;wild mushroom;third generation-fornini;truffle oil;again making;,plain pizza;pizza was;creative pizza;wild pizza;mushroom(third fornini;pizza drenched;we had;truffle oil;it soggy;rest nothingon;
"['late', 'nite', 'omellet', 'varieti', 'good']",late nite;not good;,late nite;omelletes are;not are;
"['everyth', 'thai', 'sala', 'well', 'tasti', 'portion']",sala thai;,everything is;
"['complain', 'tip', 'small']",small tip;,they complained;small tip;
"['pick', 'cheap', 'great', 'dinner', 'place', 'lunch']",great place;cheap lunch;,it 's;great place;cheap lunch;lunch pick;
"['two', 'behind', 'squeez', 'men', 'counter']",,men squeezed;
"['find', 'great']",great find;,great find;
"['deliv', 'make', 'mint']",,they delivered;they make;mint make;
"['need', 'servic', 'great', 'sushi', 'fish', 'qualiti', 'whenev', 'fix', 'mizu']",sushi fix;great service;,you need;fix need;mizu be;great service;
"['sweet', 'waitress', 'accomod', 'overbear']",not overbearing;,waitress was;not overbearing;
"['reserv', 'empti', 'wife', 'though', 'go', 'even', 'tabl', 'wait', 'could', 'sigh', 'see', 'mani']",there many;,we had;you see;many see;that were;not reservation;
"['take', 'disappoint', 'go', 'ant', 'tell', 'everyon', 'even', 'eat', 'food', 'realli', 'want']",really disappointed;disappointed ant;tell everyone;go eat;even take;,i was;disappointed ant;ant wanted;everyone tell;not go;food take;
"['websit', 'look', 'disappoint', 'make', 'rat', 'wonder', 'place', 'realiti']",look wonderful;very disappointing;,website makes;place look;it was;
"['despit', 'slightli', 'art', 'limit', 'everyth', 'perfect', 'ultra', 'do', 'food', 'fresh', 'work', 'menu', 'prepar']",slightly limited;limited menu;ultra fresh;,limited menu;everything done;
"['feet', 'outdoor', 'world', 'go', 'th', 'even', 'wonder', 'avenu', 'watch', 'sit', 'atmospher', 'away', 'sidewalk', 'cool']",cool evening;,outdoor atmosphere;atmosphere was;world go;6th avenue;cool evening;
"['larg', 'top']",large is;,large is;toppings are;
"['event', 'town', 'stop', 'place', 'part', 'sure']",,this is;i be;i 'm;
"['definit', 'go', 'back']",n't go;,i go;n't go;
"['buck', 'worth']",not worth;,it is;not is;
"['pizza', 'pick', 'oven', 'brick', 'galleri', 'restaur', 'anywher', 'best']",best pizza;,oven gallery;gallery is;best restaurant;
"['servic', 'begin', 'even', 'great', 'add', 'price', 'food', 'reason']",great service;great food;reasonable price;great evening;,great service;great food;reasonable price;you have;yourself have;beginning have;great evening;
"['arent', 'may', 'seem', 'thai', 'like', 'authent', 'food', 'place', 'nyc', 'peopl', 'quit', 'mani', 'aunthent']",many people;not seem;aunthentic thai;most places;nyc arent;quite authentic;,many people;this seem;not seem;aunthentic food;thai food;most places;places are;
"['ny', 'grow', 'eat', 'share', 'bagel']",,i eaten;share eaten;
"['even', 'bill', 'oh', 'start', 'let', 'expens']",n't even;even let;,n't let;me start;bills were;
"['hearti', 'two', 'thumb']",,hearty thumbs;
"['dumpl', 'pancak', 'noth', 'fri', 'ordinari', 'scallion']",fried dumplings;were nothing;,scallion pancakes;fried dumplings;
"['steak', 'fabul', 'salad', 'delici', 'appet', 'water', 'mouth', 'pasta']",mouth watering;,appetizers were;steak was;pasta was;
"['give', 'undercook', 'restaur', 'besid', 'promis', 'minut', 'charg', 'bill', 'one', 'twice', 'three', 'seat', 'dish', 'tabl', 'serv', 'patron', 'receiv', 'time', 'rest', 'order', 'actual']",other restaurant;restaurant patrons;actually seated;served dishes;n't ordered;,table having;we promised;other patrons;we seated;we served;dishes served;we ordered;n't ordered;one received;rest served;order undercooked;45 charged;more 45;we been;
"['notch', 'top', 'servic']",top notch;,service is;top notch;
"['food', 'inconsist']",now is;,food is;
"['pretti', 'good']",pretty good;,
"['also', 'dumpl', 'special', 'order', 'etc', 'kind']",also special;special order;,you order;special order;kind order;
"['guy', 'rock']",guys rock;,
"['chanc', 'joke']",,chance is;
"['appet', 'pretti', 'fondu', 'much', 'full']",pretty much;much full;fondue appetizer;,i was;
"['spice', 'request', 'extra', 'care']",extra spice;,you request;extra spice;spice request;
"['octopu', 'floor', 'salad', 'eater']",,eaters floored;
"['cook', 'think', 'food', 'place', 'msg', 'use', 'much']",too much;,we thought;place using;much using;
"['wed', 'last', 'rao']",last wed;,i was;last d;we d;
"['soup', 'tom', 'pathet', 'kha']",kha soup;,tom soup;soup was;
"['big', 'two', 'enough', 'beer', 'start', 'bombay']",,i started;which was;
"['eye', 'right', 'side', 'privat', 'hall', 'great', 'date', 'both', 'semi', 'decor', 'sever', 'vibrant', 'pleas', 'din']",several semi-private;semi-private boths;right side;dining hall;,decor is;several boths;private boths;right side;which are;
"['quick', 'servic']",,service was;
"['peopl', 'away', 'tend', 'turn']",turn people;,people turn;
"['like', 'even', 'think', 'prelud']",,we thought;this prelude;evening be;
"['ever', 'foodi', 'mine', 'fellow', 'go', 'turn', 'restaur', 'sinc', 'regularli', 'back', 'friend']",fellow foodie;back regularly;regularly ever;,i turned;fellow friend;foodie friend;
"['drawback', 'slow', 'toast', 'servic']",n't toast;,service is;they toast;n't toast;
"['go', 'offic', 'lunch']",,
"['year', 'disappoint', 'never', 'heartland', 'breweri']",never been;,i doing;all doing;i been;never been;
"['angri', 'zucchero', 'go', 'decid', 'anoth', 'everytim', 'tri', 'place', 'get', 'ue', 'pomodori']",i get;n't just;just go;,i decide;place try;i get;i go;n't go;
"['garlic', 'chettinad', 'excel', 'forgett', 'sweet', 'naan', 'lassi', 'rasamalai', 'lamb']",sweet lassi;lamb chettinad;garlic naan;,sweet lassi;lassi was;chettinad was;garlic naan;rasamalai was;
"['innov', 'chef', 'year', 'new', 'return', 'york', 'lyle', 'make', 'fare', 'food', 'follow', 'remain', 'us', 'classic', 'bistro', 'around']",following chef;new york;,we following;food following;new york;remaining classic;innovations made;bistro fare;us return;
"['tast', 'best', 'thing', 'lambchop']",best thing;,best thing;thing were;i tasted;
['delici'],,it 's;
"['ever', 'salmon', 'tuna', 'spici', 'best']",ever had;,spicy tuna;tuna are;we had;
"['though', 'even', 'price', 'high', 'seafood', 'good']",good seafood;too high;,good seafood;prices are;
"['addit', 'price', 'food', 'reason', 'good']",very good;,food is;prices are;
"['greet', 'enter', 'graciou', 'owner', 'upon', 'go', 'host', 'frederick', 'way', 'steven']",gracious hosts;,we greeted;who went;gracious hosts;
"['neighborhood', 'outsid', 'bother', 'live']",n't bother;,you live;n't bother;
"['go', 'valu', 'open', 'qualiti', 'see', 'consider', 'sinc', 'decreas']",,it opened;decrease seen;
"['although', 'dish', 'number', 'still', 'vegetarian', 'meat', 'select', 'adorn', 'larg', 'friendli', 'choic']",now adorn;large number;vegetarian-friendly choices;,dishes adorn;selections adorn;large number;friendly choices;
"['like', 'never', 'anyth']",never had;had anything;,i had;never had;anything had;i like;n't like;
"['reason', 'price']",reasonable prices;,reasonable prices;
"['bring', 'give', 'servic', 'complementari', 'notch', 'tabl', 'amus', 'offerng', 'us', 'dessert', 'bouch', 'small', 'celebr']",bring service;offerng complementary;complementary amuse;small dessert;,they bring;service bring;notch bring;offerng bouche;complementary amuse;small dessert;dessert gave;
"['die', 'tri', 'crunchi', 'tuna']",,crunchy tuna;tuna try;it is;
