reviews,lemmas,lemmas,aspectCategory
"Great wine list, reasonably priced.--Sara","['list', 'reason', 'price', 'sara', 'wine', 'great']",great wine;wine list;,food
The hot dogs were cold in the middle and the buns were stale.,"['hot', 'dog', 'cold', 'stale', 'bun', 'middl']",hot dogs;,food
"While the food was excellent, it wasn't cheap (though not extremely expensive either).","['excel', 'though', 'extrem', 'either', 'cheap', 'food', 'expens']",n't cheap;not extremely;extremely expensive;,food
Beef noodle soup is good as well.,"['beef', 'well', 'soup', 'good', 'noodl']",beef noodle;noodle soup;as well;,food
I was so sad to read the bad reviews this place got!,"['get', 'bad', 'read', 'place', 'review', 'sad']",so sad;bad reviews;,anecdotes/miscellaneous
Delivery service is great too.,"['deliveri', 'servic', 'great']",,service
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.","['authent', 'cuisin', 'embrac', 'beauti', 'overwhelm', 'truli', 'palat', 'flavor', 'thai', 'food', 'dazzl']",truly embracing;authentic thai;,food
I recieved prompt service with a smile.,"['reciev', 'prompt', 'servic', 'smile']",prompt service;,service
They pray to their Food Gods to make them into a good pizza like VT's.,"['like', 'vt', 'pizza', 'make', 'good', 'god', 'food', 'pray']",good pizza;,food
The place was quiet and delightful.,"['delight', 'place', 'quiet']",,ambience
Molto bene!,"['bene', 'molto']",molto bene;,anecdotes/miscellaneous
.the best I've found outside of the Chinatown masters.,"['find', 'outsid', 'best', 'chinatown', 'master']",.the best;best i;chinatown masters;,food
They are amazing!,['amaz'],,anecdotes/miscellaneous
Avoid this place!,"['place', 'avoid']",,anecdotes/miscellaneous
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"['diamond', 'delici', 'tomato', 'perfect', 'herb', 'balanc', 'food', 'homemad', 'rough']",perfect balance;,food
A must try!,"['tri', 'must']",,anecdotes/miscellaneous
"As much as I like the food there, I can't bring myself to go back.","['like', 'back', 'much', 'bring', 'go', 'food']",as much;n't bring;,anecdotes/miscellaneous
It looked like shredded cheese partly done - still in strips.,"['like', 'chees', 'strip', 'do', 'partli', 'look', 'still', 'shred']",shredded cheese;partly done;,food
The prices and ambience are especially great considering it's in the West Village.,"['consid', 'especi', 'west', 'villag', 'price', 'ambienc', 'great']",especially great;great considering;,ambience
The soup is pretty good too.,"['soup', 'pretti', 'good']",pretty good;,food
It is so easy to get a reservation at a top place in NYC with a week's notice.,"['get', 'reserv', 'week', 'top', 'nyc', 'easi', 'place', 'notic']",so easy;top place;,anecdotes/miscellaneous
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,"['mushroom', 'chef', 'without', 'consomm', 'root', 'enjoy', 'humbl', 'better', 'accomplish', 'never', 'fat', 'veget']",never better;better enjoyed;humble root;,food
"If you go to Roth's try to be served by Mike, he is GREAT!!","['serv', 'mike', 'roth', 'tri', 'go', 'great']",,service
"Based on a visit a month ago, I returned the week before Christmas and was hugely disappointed.","['disappoint', 'month', 'christma', 'visit', 'huge', 'week', 'return', 'base', 'ago']",hugely disappointed;,anecdotes/miscellaneous
Went here on a friend's reccomendation.,"['friend', 'go', 'reccomend']",,anecdotes/miscellaneous
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .","['get', 'ambianc', 'agre', 'previou', 'staff', 'rude', 'servic', 'wait', 'look', 'food', 'right', 'review']",i agree;previous reviews;wait staff;very rude;,service
"I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.","['murray', 'live', 'ess', 'bagel', 'conveni', 'west', 'go', 'love', 'often', 'side']",i love;love ess-a-bagel;i live;west side;often go;,anecdotes/miscellaneous
I always get the Shabu-Shabu dinner and the beef is always fresh.,"['fresh', 'get', 'shabu', 'beef', 'dinner', 'alway']",always get;shabu-shabu dinner;always fresh;,food
The pizza was delivered cold and the cheese wasn't even fully melted!,"['cold', 'chees', 'deliv', 'melt', 'even', 'fulli', 'pizza']",n't even;even fully;fully melted;,food
We were very surprised by how good the food was on our first visit here on a Sunday night.,"['surpris', 'visit', 'first', 'night', 'sunday', 'good', 'food']",very surprised;first visit;sunday night;,food
"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.","['restaur', 'staff', 'utter', 'vietnames', 'trang', 'come', 'nha', 'slow', 'wait', 'notori', 'delici', 'horribl', 'pho', 'vegtabl', 'quick', 'fresh', 'decor', 'best', 'lack', 'ever', 'one', 'meal', 'comfort']",utter lack;horribly slow;slow wait;horribly quick;quick meals;best vietnamese;vietnamese restaurants;ever been;very fresh;fresh vegtables;,food
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.","['hand', 'easili', 'find', 'ambianc', 'restaur', 'food', 'qualiti', 'quantiti', 'choic', 'outshin', 'give', 'presentaion', 'servic', 'tast', 'alain', 'ducass', 'hundr', 'par', 'fool']",other hand;not fooled;find hundreds;,food
We will definitely go back.,"['go', 'back', 'definit']",definitely go;,anecdotes/miscellaneous
I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,"['meet', 'neighborhood', 'also', 'live', 'friend', 'scene', 'bar', 'place', 'pizza', 'promis']",i live;here not;not only;pizza place;,anecdotes/miscellaneous
Is just the way it was in days gone by.,"['day', 'go', 'way']",,anecdotes/miscellaneous
"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.","['could', 'best', 'peopl', 'sorri', 'chart', 'would', 'nyc', 'place', 'pizza', 'rate', 'unfortun']",,food
The food is amazing!!!!,"['food', 'amaz']",,food
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.","['may', 'come', 'food', 'spici', 'along', 'year', 'float', 'similar', 'san', 'home', 'last', 'oil', 'skew', 'venu', 'bite', 'review', 'tasti']",not been;been home;similar venues;,food
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.","['small', 'usual', 'restaur', 'frantic', 'ambiti', 'seem', 'servic', 'due', 'good', 'overli', 'sauc', 'still', 'portion', 'ined', 'popular']",now very;very small;usually inedible;still good;,food
"For the price, you cannot eat this well in Manhattan.","['manhattan', 'well', 'eat', 'price', 'cannot']",not eat;,price
"The owner is very friendly and a great guy, go try his pizza, you'll like it!","['like', 'pizza', 'owner', 'tri', 'friendli', 'go', 'guy', 'great']",very friendly;great guy;,service
The atmosphere is great!!!,"['atmospher', 'great']",,ambience
"It can be a very fun experience with a group, and kids (6 and over) would love it.","['would', 'group', 'kid', 'love', 'fun', 'experi']",very fun;fun experience;,ambience
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","['restaur', 'recogn', 'uw', 'manag', 'staff', 'need', 'glorifi', 'overpric', 'absurdli', 'servic', 'mani', 'good', 'wait', 'diner', 'work', 'care', 'food', 'arrog', 'clumsi']",so many;many good;good restaurants;n't need;overpriced food;absurdly arrogant;arrogant wait-staff;n't recognize;glorified diner;clumsy service;n't care;,service
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","['rise', 'restaur', 'sushi', 'tend', 'judg', 'heavenli', 'urchin', 'sea']",i tend;,food
The service is a little scatty at times but all is forgiven when the food arrives.,"['time', 'forgiv', 'littl', 'servic', 'arriv', 'scatti', 'food']",little scatty;,food
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.","['soggi', 'fresh', 'hot', 'pip', 'includ', 'serv', 'nice', 'salad', 'bruscetta', 'dish', 'green', 'mix', 'kitchen', 'iceberg', 'bite']",bit soggy;nice mix;not iceberg;,food
And evaluated on those terms Pastis is simply wonderful.,"['wonder', 'pasti', 'evalu', 'simpli', 'term']",simply wonderful;,anecdotes/miscellaneous
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","['keep', 'atmospher', 'greatest', 'suppos', 'price']",,ambience
The pickles were great addition.,"['addit', 'pickl', 'great']",great addition;,food
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.","['chines', 'chicken', 'place', 'favorit', 'gener', 'food', 'tao']",favorite chinese;chinese food;general tao;,food
You must try the shrimp appetizers.,"['tri', 'appet', 'shrimp', 'must']",,food
"Not only is the cuisine the best around, the service has always been attentive and charming.","['best', 'cuisin', 'alway', 'servic', 'attent', 'around', 'charm']",not only;only is;always been;,food
"Filled with suits, though, so you never really feel terribly comfortable.","['terribl', 'feel', 'though', 'comfort', 'suit', 'fill', 'realli', 'never']",never really;really feel;terribly comfortable;,ambience
"The production is a symphony, alot of fun to experience.The food sublime for the most part.","['symphoni', 'product', 'food', 'sublim', 'part', 'alot', 'fun', 'experi']",experience.the food;most part;,food
"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.","['waiter', 'tend', 'peopl', 'forget', 'two', 'one', 'troubl', 'complet', 'portion', 'share', 'drink', 'entre', 'food', 'tini']",forget drinks;so tiny;have trouble;,food
"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!","['food', 'new', 'year', 'york', 'miss', 'nyc', 'roxi', 'go', 'wife', 'expens']",n't miss;miss roxy;s food;new york;,anecdotes/miscellaneous
"It's like you are transported to the Italian countryside, very romantic and filled with antiques.","['like', 'countrysid', 'fill', 'romant', 'transport', 'italian', 'antiqu']",italian countryside;very romantic;,ambience
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,"['like', 'cold', 'dish', 'appet', 'way', 'taiwan', 'grow', 'rememb', 'tast']",cold appetizer;way i;i remember;,food
Just go and see for yourself.,"['see', 'go']",just go;,anecdotes/miscellaneous
"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.","['restaur', 'seat', 'first', 'wait', 'bar', 'minut', 'pack']",,anecdotes/miscellaneous
"Interesting selection, good wines, service fine, fun decor.","['decor', 'fine', 'interest', 'win', 'servic', 'good', 'select', 'fun']",interesting selection;good wines;,food
I hate this.,['hate'],i hate;,anecdotes/miscellaneous
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,"['reserv', 'max', 'wait', 'drink', 'bar', 'minut']",so have;,service
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","['parmesean', 'whether', 'vinegar', 'itali', 'balsam', 'souffl', 'lamb', 'one', 'northern', 'porcini', 'glaze', 'bite', 'transport', 'sure']",parmesean porcini;lamb glazed;balsamic vinegar;surely be;northern italy;,food
"That place was awesome,,,  sally !","['salli', 'place', 'awesom']",,anecdotes/miscellaneous
The food at this place is 'gourmet' Indian cuisine.,"['cuisin', 'place', 'gourmet', 'indian', 'food']",indian cuisine;,food
Finally a reliable Chinese restaurant!,"['chines', 'final', 'restaur', 'reliabl']",reliable chinese;chinese restaurant;,anecdotes/miscellaneous
get over it!,['get'],,anecdotes/miscellaneous
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,"['like', 'thing', 'loud', 'hat', 'bar', 'pub', 'wife', 'felt']",so loud;,ambience
"However, it just so happens that there's an even more amazing place just down the street.","['street', 'amaz', 'even', 'happen', 'howev', 'place']",just so;so happens;even more;more amazing;amazing place;,anecdotes/miscellaneous
"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.","['corn', 'beef', 'go', 'sandwich', 'katz', 'plenti', 'good', 'charm', 'place']",are plenty;good corned;corned beef;,food
"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.","['tabl', 'look', 'sort', 'order', 'perrrrrrrrrfect', 'next', 'wish', 'howev', 'pizza']",table next;ordered pizza;looked perrrrrrrrrfect;,food
Priced at upper intermediate range.,"['intermedi', 'price', 'upper', 'rang']",upper intermediate;intermediate range;,price
"The fish was adequate, but inexpertly sliced.","['slice', 'inexpertli', 'adequ', 'fish']",inexpertly sliced;,food
I recommend ordering in on a weeknight.,"['weeknight', 'recommend', 'order']",i recommend;,anecdotes/miscellaneous
"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.","['find', 'small', 'outsid', 'restaur', 'time', 'new', 'squar', 'spend', 'half', 'live', 'york', 'better', 'amount', 'citi', 'food']",new york;better food;small restaurants;,food
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,"['whole', 'oliv', 'lox', 'chees', 'cream', 'everyth', 'bagel', 'wheat', 'tri', 'spread']",olive cream;lox spread;whole wheat;,food
"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.","['leav', 'nobu', 'feel', 'full', 'satisfi', 'definit', 'deal', 'sure', 'great']",not nobu;sure is;great deal;leave feeling;feeling satisfied;,anecdotes/miscellaneous
So my husband made up an excuse so we can leave.,"['make', 'excus', 'leav', 'husband']",,anecdotes/miscellaneous
It's very spicy but not offensive.,"['offens', 'spici']",very spicy;not offensive;,food
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.","['pleasant', 'disappoint', 'per', 'tabl', 'extrem', 'door', 'one', 'server', 'servic', 'arriv', 'almost', 'attent', 'second']",n't disappoint;second i;extremely pleasant;,service
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,"['neighborhood', 'morn', 'sinc', 'think', 'know', 'ever', 'blast', 'door', 'loud', 'resid', 'respect', 'next', 'till', 'three', 'everi', 'weekend', 'music', 'cabaret', 'open', 'summer']",n't know;cabaret next;next door;loud music;,anecdotes/miscellaneous
The rice to fish ration was also good--they didn't try to overpack the rice.,"['also', 'fish', 'ration', 'rice', 'good', 'tri', 'overpack']",fish ration;also good;n't try;,food
They used shredded cheese on top!,"['top', 'chees', 'shred', 'use']",shredded cheese;,food
They are located in the middle of Chinatown!,"['middl', 'chinatown', 'locat']",,anecdotes/miscellaneous
The food is great and they have a good selecion of wines at reasonable prices.,"['reason', 'selecion', 'win', 'good', 'food', 'price', 'great']",good selecion;reasonable prices;,food
Eating at Ottimo is like eating in Chef Salvatore Esposito's home.,"['chef', 'like', 'ottimo', 'home', 'salvator', 'esposito', 'eat']",,anecdotes/miscellaneous
Katz's deli is a great NY experience.,"['katz', 'ny', 'deli', 'experi', 'great']",great ny;ny experience;,anecdotes/miscellaneous
Check it out.,['check'],,anecdotes/miscellaneous
"The only positive was the wait staff, which was prompt, knowledgable, and likeable.","['likeabl', 'prompt', 'staff', 'posit', 'wait', 'knowledg']",only positive;positive was;wait staff;was prompt;,service
I couldn't reccommend their Godmother pizza any higher.,"['higher', 'reccommend', 'pizza', 'godmoth']",n't reccommend;,food
"I am not a vegetarian but, almost all the dishes were great.","['dish', 'almost', 'vegetarian', 'great']",,food
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,"['eastsid', 'cuisin', 'impress', 'upper', 'low', 'thai', 'authent', 'key']",very impressed;low-key upper;upper eastsider;authentically thai;thai cuisine;,food
i would go again if i didn't have to pay.,"['go', 'would', 'pay']",n't have;,anecdotes/miscellaneous
"For the location, the prices are very reasonable.","['reason', 'price', 'locat']",very reasonable;,price
The food is okay and the prices here are mediocre.,"['okay', 'food', 'price', 'mediocr']",here are;,food
My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).,"['like', 'also', 'complet', 'friend', 'opposit', 'look', 'suppos', 'food', 'tast']",complete opposite;,food
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,"['could', 'order', 'lime', 'concoct', 'crab', 'cocktail', 'juic', 'soak', 'tast']",lime juice;,food
I would like to return and try some of the other menu items when I don't have to rush off to a show.,"['like', 'show', 'menu', 'would', 'rush', 'item', 'tri', 'return']",other menu;n't have;,food
"We have been to this place many times, and always have great food, wine, and service.","['time', 'food', 'alway', 'servic', 'mani', 'place', 'wine', 'great']",place many;many times;always have;great food;,food
"Hopefully next time, I will save room for dessert.","['time', 'dessert', 'next', 'room', 'hope', 'save']",hopefully next;next time;save room;,food
"Alain Ducasse is the best of everything, I mean everything was excelent.I","['best', 'excel', 'everyth', 'mean', 'alain', 'ducass']",i mean;mean everything;,anecdotes/miscellaneous
"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.","['fairli', 'pizza', 'nice', 'dinner', 'sit', 'low', 'good', 'cheap', 'typic', 'joint', 'key']",typical pizza;low key;fairly cheap;cheap nice;nice sit;,price
The corned beef was tender and melted in my mouth.,"['corn', 'beef', 'mouth', 'melt', 'tender']",corned beef;was tender;,food
GO HERE.,['go'],,anecdotes/miscellaneous
"The best Chicken pad tai, I've ever had.","['best', 'chicken', 'ever', 'pad', 'tai']",best chicken;ever had;,food
We weren't even at our table for more than an hour total.,"['tabl', 'even', 'hour', 'total']",n't even;,anecdotes/miscellaneous
$20 for all you can eat sushi cannot be beaten.,"['eat', 'cannot', 'sushi', 'beat']",eat sushi;not be;,price
It has been my first choice ever since I discovered it .,"['sinc', 'discov', 'ever', 'first', 'choic']",first choice;,anecdotes/miscellaneous
Over 100 different choices to create your own.,"['creat', 'choic', 'differ']",different choices;,food
"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.","['fresh', 'ambianc', 'fish', 'serv', 'avenu', 'locat', 'south', 'servic', 'park', 'prime', 'trendi', 'friendli', 'haru', 'modern']",very fresh;fresh fish;modern ambiance;prime location;friendly service;,food
Warm and friendly in the winter and terrific outdoor seating in the warmer months.,"['month', 'terrif', 'seat', 'outdoor', 'winter', 'friendli', 'warm', 'warmer']",terrific outdoor;warmer months;,ambience
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.","['lanterna', 'spend', 'extens', 'enjoy', 'fire', 'liter', 'hour', 'drink', 'romant', 'wine', 'ambienc']",very romantic;romantic fires;literally spent;spent hours;drinking wine;extensive wine;,food
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,"['get', 'tipsi', 'littl', 'night', 'girlfriend', 'saturday', 'sake']",little tipsy;saturday nights;,anecdotes/miscellaneous
"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!","['write', 'bad', 'could', 'want', 'ever', 'one', 'dumpl', 'almost', 'would', 'go', 'review']",almost wanted;bad review;ever go;,food
"After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.","['post', 'minnow', 'live', 'slope', 'read', 'alway', 'despit', 'park', 'skeptic', 'go']",always skeptical;park slope;,anecdotes/miscellaneous
I loved it and will be back soon.,"['back', 'love', 'soon']",back soon;,anecdotes/miscellaneous
"Always a nice crowd, but never loud.","['crowd', 'nice', 'loud', 'alway', 'never']",nice crowd;,ambience
"My turkey burger was not cooked at all, my friends salmon was completely raw.","['raw', 'salmon', 'complet', 'friend', 'turkey', 'burger', 'cook']",not cooked;completely raw;,food
"The service is spotty, sometimes really friendly and sometimes barely there.","['bare', 'spotti', 'servic', 'sometim', 'realli', 'friendli']",sometimes really;really friendly;sometimes barely;barely there;,service
Decor is minimalist and clean - nothing to distract or commend.,"['decor', 'distract', 'noth', 'commend', 'minimalist', 'clean']",,ambience
"His drinks are very inventive, delicious and classy.","['invent', 'delici', 'drink', 'classi']",very inventive;,food
"Great food, great prices, great service.","['servic', 'food', 'price', 'great']",great food;great prices;great service;,food
This isn't your corner Chinese food takeout.,"['food', 'chines', 'corner', 'takeout']",corner chinese;chinese food;,anecdotes/miscellaneous
Awsome Pizza especially the Margheritta slice.,"['slice', 'margheritta', 'especi', 'awsom', 'pizza']",awsome pizza;,food
"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.","['food', 'less', 'still', 'averag', 'pretens', 'joya', 'lot', 'howev', 'thai', 'place']",lot less;less pretension;still above-average;,food
"My husband and I ate here after reading reviews here as well as hobokeni.com,","['com', 'husband', 'well', 'read', 'hobokeni', 'eat', 'review']",i ate;reviews here;here as;as well;,anecdotes/miscellaneous
"Try ordering from the regular menu, then you would not regret!","['regular', 'regret', 'order', 'menu', 'would', 'tri']",regular menu;not regret;,food
"Told us to sit anywhere, and when we sat he said the table was reserved.","['tabl', 'reserv', 'anywher', 'say', 'tell', 'us', 'sit']",,service
"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.","['eel', 'main', 'vs', 'get', 'uni', 'california', 'good', 'comparison', 'sea', 'freshwat', 'tast']",good taste;,anecdotes/miscellaneous
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.","['mussel', 'best', 'ive', 'lox', 'ever', 'start', 'cod', 'trout', 'dinner']",best ive;ever had;,food
"The crispy chicken wasn't for us, though.","['chicken', 'crispi', 'though', 'us']",,food
JUST AWSOME.,['awsom'],,anecdotes/miscellaneous
Food is great.,"['food', 'great']",,food
There is a lot of variety even for people who eat vegetarian like me.,"['like', 'vegetarian', 'peopl', 'even', 'lot', 'varieti', 'eat']",,food
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,"['meatbal', 'wonder', 'salad', 'recommend', 'meal', 'start', 'capres', 'bean', 'toast']",i recommend;caprese salad;wonderful start;,food
This place is incredibly tiny.,"['place', 'incred', 'tini']",incredibly tiny;,ambience
"I will definetely go back again and again, that's for sure!!!","['sure', 'go', 'back', 'definet']",definetely go;back again;,anecdotes/miscellaneous
"I didn't complain, I liked the atmosphere so much.","['much', 'complain', 'like', 'atmospher']",n't complain;so much;,ambience
This is one of our all-time favorite.,"['time', 'favorit', 'one']",all-time favorite;,anecdotes/miscellaneous
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,"['tabl', 'realiti', 'lobbi', 'reserv', 'maxim', 'phone', 'realloc', 'take', 'diner', 'wait', 'potenti', 'still']",potential diners;still taking;taking phone;reallocating tables;,service
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.","['bread', 'pita', 'especi', 'yummi', 'alway', 'tapa', 'good', 'warm', 'wine']",always good;always yummy;warm pita;,food
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.","['food', 'get', 'seat', 'explain', 'menu', 'servic', 'everyth', 'realli', 'cheap', 'waitress', 'price', 'great']",explain everything;really cheap;,price
this place is amazingly bad.,"['amazingli', 'place', 'bad']",amazingly bad;,anecdotes/miscellaneous
"Compared to other shabu restaurants around town, this places wins hands-down.","['hand', 'compar', 'restaur', 'town', 'shabu', 'win', 'around', 'place']",other shabu;shabu restaurants;,anecdotes/miscellaneous
I've been to several places for Dim Sum and this has got to be the WORST.,"['get', 'worst', 'sever', 'sum', 'place', 'dim']",several places;,food
I love this place.,"['place', 'love']",i love;,anecdotes/miscellaneous
"The freshest, best variety, and the fastest delivery.","['fastest', 'best', 'varieti', 'deliveri', 'freshest']",best variety;fastest delivery;,food
Go to Volare for 1st class service and terrific food.,"['food', 'terrif', 'class', 'st', 'servic', 'volar', 'go']",terrific food;,food
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.","['seat', 'custom', 'empti', 'someon', 'seem', 'alway', 'super', 'take', 'servic', 'essenc', 'trendi', 'deem']",empty seat;,service
Dinner took almost 4 hours without any lag time.,"['without', 'time', 'dinner', 'hour', 'almost', 'take', 'lag']",lag time;,anecdotes/miscellaneous
The people in the restaurant were pretty obnoxious and loud.,"['restaur', 'peopl', 'pretti', 'loud', 'obnoxi']",pretty obnoxious;,ambience
"The sandwiches are dry, tasteless and way overpriced.","['dri', 'sandwich', 'overpric', 'tasteless', 'way']",,food
The problem is just that-it is a sometimes kind of affair.,"['kind', 'sometim', 'problem', 'affair']",,anecdotes/miscellaneous
Price no more than a Jersey deli but way better.,"['jersey', 'better', 'way', 'deli', 'price']",jersey deli;,price
The fried rice is really good too.,"['fri', 'rice', 'realli', 'good']",fried rice;really good;,food
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,"['enthusiast', 'manag', 'staff', 'excel', 'well', 'attend', 'especi', 'toni', 'make', 'suggest', 'menu', 'select', 'gaskin']",well attended;enthusiastic staff;manager tony;tony gaskin;excellent suggestions;,service
Made my dining experience uncomfortable.,"['make', 'uncomfort', 'experi', 'din']",dining experience;experience uncomfortable;,anecdotes/miscellaneous
It's a steal!,['steal'],,price
We went to this restaurant based on prior internet comments.,"['restaur', 'comment', 'internet', 'go', 'base', 'prior']",prior internet;,anecdotes/miscellaneous
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...","['tabl', 'aanoth', 'serv', 'eventhough', 'away', 'much', 'next', 'stay', 'us', 'still', 'longer', 'walk']",still stay;table next;were serves;there much;much longer;,service
I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,"['door', 'front', 'next', 'close', 'coat', 'eat', 'parti']",front doors;,ambience
"A very inviting restaurant, with friendly service.","['friendli', 'servic', 'invit', 'restaur']",very inviting;inviting restaurant;friendly service;,service
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.","['pleasant', 'back', 'see', 'area', 'herb', 'garden', 'sit', 'person']",back garden;sitting area;very pleasant;personal herb;,ambience
What's the difference between the two?,"['two', 'differ']",,anecdotes/miscellaneous
Will go back but only sate those homesick stomach cravings!,"['sate', 'stomach', 'back', 'homesick', 'crave', 'go']",only sate;homesick stomach;,anecdotes/miscellaneous
"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.","['decent', 'unless', 'pound', 'restaur', 'food', 'area', 'capabl', 'devoid', 'sandwich', 'pastrami', 'katz', 'mexican', 'deli', 'good', 'eat', 'french', 'suppli']",good french;french restaurant;decent restaurants;mexican food;capable restaurants;,anecdotes/miscellaneous
I was very disappointed with this restaurant.,"['disappoint', 'restaur']",very disappointed;,anecdotes/miscellaneous
The drinks are always welll made and wine selection is fairly priced.,"['fairli', 'make', 'alway', 'price', 'drink', 'select', 'welll', 'wine']",always welll;welll made;wine selection;fairly priced;,food
We also had shared a house salad that was fresh.,"['fresh', 'also', 'hous', 'salad', 'share']",also had;,food
The ceiling is amazing!,"['amaz', 'ceil']",,ambience
My wife and I were in NYC celebrating our 30th anniversary.,"['celebr', 'th', 'anniversari', 'nyc', 'wife']",nyc celebrating;30th anniversary;,anecdotes/miscellaneous
I'm glad I was introduced to this place and this is a rare gem in NY.,"['glad', 'place', 'introduc', 'ny', 'gem', 'rare']",glad i;rare gem;,anecdotes/miscellaneous
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,"['culinari', 'nightmar', 'tabl', 'check', 'give', 'knock', 'conclus', 'glass', 'water']",culinary nightmare;,service
Not a small feat for good french food in the area.,"['small', 'area', 'good', 'food', 'french', 'feat']",small feat;good french;french food;,food
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.","['space', 'small', 'cramp', 'loud', 'live', 'night', 'jazz', 'music', 'bite']",too small;live music;,ambience
Food was average but tasty.,"['averag', 'food', 'tasti']",,food
We come from New Jersey to eat at Kinoko.,"['come', 'jersey', 'new', 'kinoko', 'eat']",new jersey;,anecdotes/miscellaneous
Big Wong gets big Ups for a fine establishment.,"['get', 'fine', 'establish', 'up', 'big', 'wong']",big wong;big ups;fine establishment;,ambience
Will never be back.,"['back', 'never']",never be;,anecdotes/miscellaneous
"The entree was bland and small, dessert was not inspired.","['small', 'dessert', 'entre', 'inspir', 'bland']",was bland;not inspired;,food
I highly recommend it.,"['highli', 'recommend']",highly recommend;,anecdotes/miscellaneous
Oh and it's too tiny for families with strollers.,"['stroller', 'tini', 'famili', 'oh']",too tiny;,ambience
The staff was the friendliest that have seen in New York.,"['new', 'see', 'staff', 'york', 'friendliest']",new york;,service
